Item,prix par kilo,prix unitaire,Fournisseur,Contact
APF,65,,Big C,
Farine de Seigle,245,,Royal country marketing,
Whole wheat,280,,Royal country marketing,
Farine King,45,,Claudie's,
Sel,14,,Claudie's,
Lait,87,,Global pacific,
Eau,"0,2",,Local,
Levure,300,,Big C,
O'tentic,1230,,Carla's,
Beurre,499,,Global pacific,
Beurre tourage,452,,Global pacific,
Mimetic,505,,Carla's,
Mix Tourage,478,,,
Mix graines,400,,Local,
S500,500,,Carla's,
Sucre,60,,Claudie's,
Lafruta Mango,600,,Global pacific,
Lafruta Raspberry,600,,Global pacific,
Lafruta Blueberry,"606,6666667",,Global pacific,
Lafruta Cherry,"488,3333333",,Global pacific,
Chocolate sticks,354,,Global pacific,
Oeufs,,9,Local,
Raisins maceres,420,,Local,
Vanille pate,4000,,Lazada,
Arome vanille,400,,Local,
Canelle poudre,1000,,Local,
Olives,350,,Local,
Huile d'olive,370,,Local,
Noix,575,,Danes,
Poudre d'amandes ,600,,Lazada,
Psyllium,1200,,Lazada,
Guar,950,,Lazada,
Xanthane,950,,Lazada,
Farine de riz,140,,Lazada,
Vinaigre de cidre,600,,Local,
